button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
Y,R,"[3, 4]",-2.0,0.0,1.6457219123840332,3.020343780517578,0.338004287413425,0.0,1.0
B,L,"[3, 3]",0.0,0.0,0.396543025970459,2.114410877227783,0.7187378065677342,0.0,2.0
G,D,"[4, 3]",-1.0,-1.0,0.26810693740844727,1.5884292125701904,0.30757025710665026,0.0,3.0
R,U,"[3, 3]",0.0,-1.0,0.289841890335083,1.77593994140625,0.48325834489136194,0.0,4.0
B,L,"[3, 2]",1.0,0.0,0.1627960205078125,1.4635779857635498,0.28050753530269573,0.0,5.0
B,L,"[3, 1]",1.0,1.0,0.1910228729248047,1.4575910568237305,0.2548981815195742,0.0,6.0
,,"(3, 3)",,,,,,0.0,
G,D,"[4, 3]",-1.0,-1.0,0.4917261600494385,7.230289936065674,0.6847575694680759,,7.0
G,D,"[5, 3]",-1.0,-2.0,0.19479799270629883,1.8350889682769775,0.636586424545644,1.0,8.0
Y,R,"[5, 4]",-1.0,-3.0,0.17385601997375488,1.4762589931488037,0.2964792967502113,1.0,9.0
B,L,"[5, 3]",0.0,-3.0,0.2054119110107422,1.8435778617858887,0.6232096162757232,1.0,10.0
R,U,"[4, 3]",0.0,-3.0,0.18393707275390625,1.7768161296844482,0.6001675630690805,1.0,11.0
G,D,"[5, 3]",0.0,-3.0,0.17667698860168457,1.5010380744934082,0.3180527911904321,1.0,12.0
,,"(3, 3)",,,,,,1.0,
B,L,"[3, 2]",1.0,1.0,0.43916893005371094,6.022794008255005,0.29094749295988603,,13.0
B,L,"[3, 1]",1.0,2.0,0.1664111614227295,1.475283145904541,0.2996038175593749,2.0,14.0
B,L,"[3, 0]",0.0,2.0,0.15804791450500488,1.705359935760498,0.5380479274266627,2.0,15.0
Y,R,"[3, 1]",0.0,2.0,0.14722299575805664,1.8048620223999023,0.659564069249545,2.0,16.0
Y,R,"[3, 2]",0.0,2.0,0.17926478385925293,1.64497709274292,0.47137248710067703,2.0,17.0
B,L,"[3, 1]",0.0,2.0,0.14527201652526855,1.838123083114624,0.6925592228797122,2.0,18.0
,,"(3, 3)",,,,,,2.0,
Y,R,"[3, 4]",-1.0,-1.0,0.7008628845214844,4.0931079387664795,0.5859895371171486,,19.0
B,L,"[3, 3]",0.0,-1.0,0.1401839256286621,1.6975178718566895,0.5501771999047386,3.0,20.0
G,D,"[4, 3]",-1.0,-2.0,0.23245906829833984,1.8934788703918457,0.6435836914986833,3.0,21.0
R,U,"[3, 3]",0.0,-2.0,0.15101289749145508,1.7467131614685059,0.5904207145828885,3.0,22.0
R,U,"[2, 3]",-1.0,-3.0,0.12803912162780762,1.8002851009368896,0.6738394668240476,3.0,23.0
Y,R,"[2, 4]",-1.0,-4.0,0.15507197380065918,1.5141339302062988,0.3717303761724427,3.0,24.0
,,"(3, 3)",,,,,,3.0,
B,L,"[3, 2]",1.0,1.0,0.5830140113830566,3.0085091590881348,0.3304137327896606,,25.0
B,L,"[3, 1]",1.0,2.0,0.17574095726013184,1.6782801151275635,0.49177734178317944,4.0,26.0
B,L,"[3, 0]",-1.0,2.0,0.029979944229125977,5.711750030517578,0.55368912404235,4.0,27.0
B,L,"[3, 0]",0.0,2.0,0.24661493301391602,1.6012849807739258,0.35506089702881166,4.0,28.0
R,U,"[2, 0]",0.0,2.0,0.2896730899810791,1.6389660835266113,0.34420787620416843,4.0,29.0
R,U,"[1, 0]",0.0,2.0,0.17457008361816406,1.886254072189331,0.7133980399255886,4.0,30.0
,,"(3, 3)",,,,,,4.0,
B,L,"[3, 2]",1.0,1.0,0.40306520462036133,3.9356558322906494,0.7324564690395725,,31.0
B,L,"[3, 1]",1.0,2.0,0.1552119255065918,1.8856391906738281,0.7180652260274011,5.0,32.0
Y,R,"[3, 2]",0.0,2.0,0.1630420684814453,1.687195062637329,0.5220983840368036,5.0,33.0
Y,R,"[3, 3]",0.0,2.0,0.1848440170288086,1.5942580699920654,0.41661953418508635,5.0,34.0
Y,R,"[3, 4]",-1.0,1.0,0.1728808879852295,1.848341941833496,0.6647218896106666,5.0,35.0
G,D,"[4, 4]",-1.0,0.0,0.21316003799438477,1.7413840293884277,0.5227928955517555,5.0,36.0
,,"(3, 3)",,,,,,5.0,
B,L,"[3, 2]",1.0,1.0,0.33124709129333496,3.471142053604126,0.5940684613631126,,37.0
B,L,"[3, 1]",1.0,2.0,0.1528780460357666,1.8854210376739502,0.7293012698809078,6.0,38.0
R,U,"[2, 1]",-1.0,2.0,0.015141963958740234,5.817682981491089,0.6638959173450035,6.0,39.0
R,U,"[1, 1]",-1.0,1.0,0.30025291442871094,1.9345169067382812,0.6151256953252173,6.0,40.0
G,D,"[2, 1]",0.0,1.0,0.2924039363861084,1.8580451011657715,0.5566515859782082,6.0,41.0
Y,R,"[2, 2]",1.0,2.0,0.23842716217041016,1.8830821514129639,0.6564086770831894,6.0,42.0
,,"(3, 3)",,,,,,6.0,
B,L,"[3, 2]",1.0,1.0,0.47971320152282715,4.113739967346191,0.503472018273791,,43.0
B,L,"[3, 1]",1.0,2.0,0.18974089622497559,1.789626121520996,0.5931015443969345,7.0,44.0
R,U,"[2, 1]",1.0,3.0,0.18132996559143066,1.4666430950164795,0.27670087258792087,7.0,45.0
Y,R,"[2, 2]",1.0,4.0,0.26670289039611816,1.96431303024292,0.6905886167861268,7.0,46.0
Y,R,"[2, 3]",-1.0,3.0,0.2072439193725586,1.5752599239349365,0.36632263485511773,7.0,47.0
B,L,"[2, 2]",0.0,3.0,0.18324899673461914,1.5004820823669434,0.31691245469518237,7.0,48.0
,,"(3, 3)",,,,,,7.0,
