button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n,trial_type
R,U,"[5, 6]",-2.0,0.0,2.476253032684326,4.065377950668335,0.5493774447343391,0.0,1.0,0.0
G,D,"[6, 6]",0.0,0.0,0.5891480445861816,2.1400861740112305,0.4394734675905721,0.0,2.0,0.0
G,D,"[7, 6]",0.0,0.0,0.4968841075897217,2.3105599880218506,0.7163657986270036,0.0,3.0,0.0
Y,R,"[7, 7]",0.0,0.0,0.32192301750183105,1.674793004989624,0.25830853072766685,0.0,4.0,0.0
B,L,"[7, 6]",0.0,0.0,0.3653719425201416,1.865157127380371,0.40670423241355635,0.0,5.0,0.0
B,L,"[7, 5]",0.0,0.0,0.39255714416503906,1.800389051437378,0.3069157692239701,0.0,6.0,0.0
B,L,"[7, 4]",0.0,0.0,0.2747340202331543,1.9575409889221191,0.5809109054693502,0.0,7.0,0.0
B,L,"[7, 3]",0.0,0.0,0.379040002822876,1.7859561443328857,0.30037069496911534,0.0,8.0,0.0
G,D,"[8, 3]",0.0,0.0,0.2675058841705322,1.6608400344848633,0.2945516386870934,0.0,9.0,0.0
R,U,"[7, 3]",0.0,0.0,0.3544800281524658,2.1357250213623047,0.69684956244754,0.0,10.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",1.0,1.0,0.5034360885620117,7.491759777069092,0.4548635735158226,1.0,11.0,0.0
R,U,"[4, 6]",0.0,1.0,0.410355806350708,1.8420889377593994,0.33019352625195997,1.0,12.0,0.0
B,L,"[4, 5]",-1.0,1.0,0.01609492301940918,5.540165901184082,0.3868268336517625,1.0,13.0,0.0
B,L,"[4, 4]",0.0,1.0,0.3042881488800049,2.048279047012329,0.6349935953906601,1.0,14.0,0.0
B,L,"[4, 3]",0.0,1.0,0.32651400566101074,2.1546761989593506,0.7227670744640498,1.0,15.0,0.0
Y,R,"[4, 4]",0.0,1.0,0.333482027053833,2.0132269859313965,0.5859392966913266,1.0,16.0,0.0
G,D,"[5, 4]",-1.0,1.0,0.06087493896484375,5.682390928268433,0.4848876444153264,1.0,17.0,0.0
G,D,"[6, 4]",0.0,1.0,0.6203470230102539,2.0202698707580566,0.30526154717527176,1.0,18.0,0.0
G,D,"[7, 4]",-2.0,1.0,1.2126870155334473,2.607522964477539,0.36261085894728856,1.0,19.0,0.0
G,D,"[8, 4]",0.0,1.0,0.3099520206451416,1.7510409355163574,0.3303061419275973,1.0,20.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",-2.0,0.0,1.7325630187988281,7.09070897102356,0.6038801620347426,2.0,21.0,0.0
R,U,"[4, 6]",0.0,0.0,0.14710593223571777,1.6343181133270264,0.3884157937735497,2.0,22.0,0.0
R,U,"[3, 6]",0.0,0.0,0.3115959167480469,1.6911630630493164,0.279607665223245,2.0,23.0,0.0
Y,R,"[3, 7]",0.0,0.0,0.5230560302734375,2.055722951889038,0.41842408150559474,2.0,24.0,0.0
G,D,"[4, 7]",0.0,0.0,0.23309898376464844,1.9347550868988037,0.6028103939547985,2.0,25.0,0.0
B,L,"[4, 6]",0.0,0.0,0.20067501068115234,1.835226058959961,0.5382204515313487,2.0,26.0,0.0
G,D,"[5, 6]",0.0,0.0,0.28371214866638184,1.978102207183838,0.5994185934453817,2.0,27.0,0.0
B,L,"[5, 5]",0.0,0.0,0.17194485664367676,1.7361550331115723,0.4524177238387221,2.0,28.0,0.0
G,D,"[6, 5]",0.0,0.0,0.32861900329589844,2.1489460468292236,0.7177002598341402,2.0,29.0,0.0
B,L,"[6, 4]",0.0,0.0,0.18056178092956543,1.5754098892211914,0.2934149430178394,2.0,30.0,0.0
,,"(6, 6)",,,,,,,,
G,D,"[7, 6]",0.0,0.0,0.9088549613952637,4.745141983032227,0.255163938061321,3.0,31.0,0.0
G,D,"[8, 6]",0.0,0.0,0.3958561420440674,1.9940950870513916,0.4988840397275358,3.0,32.0,0.0
R,U,"[7, 6]",0.0,0.0,0.383760929107666,1.8406519889831543,0.3562418838951229,3.0,33.0,0.0
Y,R,"[7, 7]",0.0,0.0,0.39244985580444336,2.1094558238983154,0.6154723546640413,3.0,34.0,0.0
B,L,"[7, 6]",0.0,0.0,0.26169800758361816,1.8458890914916992,0.478199306076477,3.0,35.0,0.0
G,D,"[8, 6]",0.0,0.0,0.30849599838256836,1.8536579608917236,0.4483322314388698,3.0,36.0,0.0
B,L,"[8, 5]",0.0,0.0,0.4153139591217041,1.8577680587768555,0.3395420602692428,3.0,37.0,0.0
G,D,"[9, 5]",0.0,0.0,0.29465508460998535,1.7334880828857422,0.33949743347167405,3.0,38.0,0.0
Y,R,"[9, 6]",0.0,0.0,0.2685821056365967,1.8048851490020752,0.44437424413760296,3.0,39.0,0.0
R,U,"[8, 6]",0.0,0.0,0.12126898765563965,1.6722688674926758,0.44990997486078643,3.0,40.0,0.0
,,"(6, 6)",,,,,,,,
R,U,"[5, 6]",-2.0,0.0,1.2161228656768799,7.040730953216553,0.6734137703341859,4.0,41.0,0.0
R,U,"[4, 6]",0.0,0.0,0.16349387168884277,1.8294789791107178,0.5696730924675901,4.0,42.0,0.0
G,D,"[5, 6]",0.0,0.0,0.19105291366577148,1.810797929763794,0.5136499470520357,4.0,43.0,0.0
G,D,"[6, 6]",0.0,0.0,0.15053319931030273,1.7942688465118408,0.5414354450868166,4.0,44.0,0.0
G,D,"[7, 6]",0.0,0.0,0.13313007354736328,1.655923843383789,0.43071422674170295,4.0,45.0,0.0
G,D,"[8, 6]",0.0,0.0,0.1632850170135498,1.7211880683898926,0.4517406357843084,4.0,46.0,0.0
G,D,"[9, 6]",0.0,0.0,0.1416940689086914,1.962141990661621,0.71369785065171,4.0,47.0,0.0
G,D,"[10, 6]",0.0,0.0,0.22791600227355957,1.8768730163574219,0.5405400613450937,4.0,48.0,0.0
G,D,"[11, 6]",0.0,0.0,0.21042084693908691,2.0227811336517334,0.7132428156925853,4.0,49.0,0.0
G,D,"[10, 6]",-3.0,0.0,0.34807515144348145,1.8324639797210693,0.3792692650369074,4.0,50.0,0.0
,,"(6, 6)",,,,,,,,
G,D,"[7, 6]",0.0,0.0,0.9370160102844238,5.013278961181641,0.47565621796217905,5.0,51.0,0.0
G,D,"[8, 6]",0.0,0.0,0.4326498508453369,1.7885560989379883,0.2642846908006887,5.0,52.0,0.0
G,D,"[9, 6]",0.0,0.0,0.26381683349609375,1.7302560806274414,0.3611725733377508,5.0,53.0,0.0
G,D,"[10, 6]",-2.0,0.0,1.3849871158599854,2.898153066635132,0.4922759084318026,5.0,54.0,0.0
G,D,"[11, 6]",0.0,0.0,0.22772002220153809,1.8896889686584473,0.5652783803950447,5.0,55.0,0.0
G,D,"[10, 6]",-3.0,0.0,0.3958010673522949,1.7941651344299316,0.2930135618509476,5.0,56.0,0.0
G,D,"[11, 6]",0.0,0.0,0.2664978504180908,1.8700449466705322,0.5127822332808827,5.0,57.0,0.0
G,D,"[10, 6]",-3.0,0.0,0.18303513526916504,1.7984609603881836,0.5112216547646322,5.0,58.0,0.0
G,D,"[11, 6]",0.0,0.0,0.19464397430419922,1.6124680042266846,0.32370753013820985,5.0,59.0,0.0
