path_sequence	onpath_probe_j	onpath_probe_i	lead_j	lead_i	rot	directional_choice	probe_block_idx	instance	probe_type
0	7	6	7	5	0	D	43	1	-4
1	8	4	8	5	0	U	46	1	-4
2	9	5	10	5	0	L	50	1	-4
3	10	3	10	4	0	U	54	1	-4
4	7	6	7	5	0	D	62	2	-4
5	8	4	8	5	0	U	68	2	-4
6	9	5	10	5	0	L	71	2	-4
7	10	3	10	4	0	U	77	2	-4
0	6	5	5	5	90	R	43	1	-4
1	4	4	5	4	90	L	46	1	-4
2	5	3	5	2	90	D	50	1	-4
3	3	2	4	2	90	L	54	1	-4
4	6	5	5	5	90	R	62	2	-4
5	4	4	5	4	90	L	68	2	-4
6	5	3	5	2	90	D	71	2	-4
7	3	2	4	2	90	L	77	2	-4
0	5	6	5	7	180	U	43	1	-4
1	4	8	4	7	180	D	46	1	-4
2	3	7	2	7	180	R	50	1	-4
3	2	9	2	8	180	D	54	1	-4
4	5	6	5	7	180	U	62	2	-4
5	4	8	4	7	180	D	68	2	-4
6	3	7	2	7	180	R	71	2	-4
7	2	9	2	8	180	D	77	2	-4
0	6	7	7	7	270	L	43	1	-4
1	8	8	7	8	270	R	46	1	-4
2	7	9	7	10	270	U	50	1	-4
3	9	10	8	10	270	R	54	1	-4
4	6	7	7	7	270	L	62	2	-4
5	8	8	7	8	270	R	68	2	-4
6	7	9	7	10	270	U	71	2	-4
7	9	10	8	10	270	R	77	2	-4
